Source File:- C:\Cubus Projects\vi_F4016_Lastkollektiv\Data\Test Run - 68\Prüfablauf - (1 von 100)\F4016_1_Realkollektiv_1_#2.qtpd
Cycle	Peak Time [s]	Zylinder 2 Weg  [mm] Peak	Zylinder 2 Kraft  [kN] Peak	Trough Time	Zylinder 2 Weg  [mm] Trough	Zylinder 2 Kraft  [kN] Trough	
98	430669,434	6,155	-2,738	430669,459	5,637	-68,573	
99	430669,484	6,157	-2,657	430669,509	5,637	-68,692	
100	430669,534	6,155	-2,700	430669,559	5,637	-68,588	
101	430669,584	6,156	-2,756	430669,609	5,636	-68,719	
102	430669,634	6,156	-2,682	430669,659	5,637	-68,630	
103	430669,684	6,155	-2,802	430669,709	5,636	-68,701	
104	430669,734	6,156	-2,741	430669,759	5,637	-68,622	
105	430669,784	6,156	-2,752	430669,809	5,637	-68,689	
106	430669,834	6,155	-2,722	430669,859	5,637	-68,654	
107	430669,884	6,155	-2,774	430669,909	5,637	-68,672	
108	430669,934	6,156	-2,635	430669,959	5,637	-68,572	
109	430669,984	6,155	-2,761	430670,009	5,636	-68,680	
110	430670,034	6,156	-2,659	430670,059	5,637	-68,633	
111	430670,084	6,156	-2,674	430670,109	5,636	-68,716	
112	430670,134	6,156	-2,655	430670,159	5,637	-68,612	
113	430670,184	6,156	-2,707	430670,209	5,637	-68,663	
114	430670,234	6,156	-2,691	430670,259	5,637	-68,567	
115	430670,284	6,156	-2,669	430670,309	5,637	-68,677	
116	430670,334	6,155	-2,768	430670,359	5,637	-68,597	
117	430670,384	6,156	-2,670	430670,409	5,637	-68,626	
118	430670,434	6,155	-2,690	430670,459	5,637	-68,587	
119	430670,484	6,156	-2,697	430670,509	5,637	-68,639	
120	430670,534	6,157	-2,586	430670,559	5,638	-68,555	
121	430670,584	6,156	-2,613	430670,609	5,636	-68,668	
122	430670,634	6,156	-2,649	430670,659	5,637	-68,562	
123	430670,684	6,156	-2,670	430670,709	5,637	-68,658	
124	430670,734	6,156	-2,636	430670,759	5,637	-68,581	
125	430670,784	6,155	-2,707	430670,809	5,636	-68,700	
126	430670,834	6,156	-2,621	430670,859	5,637	-68,582	
127	430670,884	6,156	-2,664	430670,909	5,636	-68,678	
128	430670,934	6,156	-2,623	430670,959	5,636	-68,606	
129	430670,984	6,157	-2,632	430671,009	5,636	-68,659	
130	430671,034	6,155	-2,685	430671,059	5,637	-68,543	
131	430671,084	6,157	-2,624	430671,109	5,637	-68,641	
132	430671,134	6,155	-2,666	430671,159	5,638	-68,533	
133	430671,184	6,155	-2,700	430671,209	5,637	-68,675	
134	430671,234	6,156	-2,686	430671,259	5,637	-68,588	
135	430671,284	6,155	-2,739	430671,309	5,637	-68,619	
136	430671,334	6,156	-2,635	430671,359	5,637	-68,605	
137	430671,384	6,156	-2,668	430671,409	5,637	-68,654	
138	430671,434	6,156	-2,628	430671,459	5,637	-68,562	
139	430671,484	6,155	-2,715	430671,509	5,637	-68,653	
140	430671,534	6,155	-2,678	430671,559	5,637	-68,611	
141	430671,584	6,155	-2,729	430671,609	5,636	-68,701	
142	430671,634	6,156	-2,635	430671,659	5,637	-68,596	
143	430671,684	6,155	-2,723	430671,709	5,636	-68,678	
144	430671,734	6,156	-2,615	430671,759	5,637	-68,527	
145	430671,784	6,156	-2,625	430671,809	5,636	-68,704	
146	430671,834	6,156	-2,690	430671,859	5,637	-68,604	
147	430671,884	6,155	-2,726	430671,909	5,637	-68,657	
148	430671,934	6,155	-2,713	430671,959	5,637	-68,590	
149	430671,984	6,156	-2,647	430672,009	5,637	-68,645	
150	430672,034	6,155	-2,762	430672,059	5,637	-68,594	
151	430672,084	6,156	-2,679	430672,109	5,636	-68,694	
152	430672,134	6,156	-2,682	430672,159	5,637	-68,588	
153	430672,184	6,157	-2,589	430672,209	5,637	-68,648	
154	430672,234	6,156	-2,689	430672,259	5,637	-68,550	
155	430672,284	6,155	-2,723	430672,309	5,637	-68,642	
156	430672,334	6,156	-2,669	430672,359	5,636	-68,622	
157	430672,384	6,155	-2,723	430672,409	5,636	-68,710	
158	430672,434	6,155	-2,765	430672,459	5,637	-68,606	
159	430672,484	6,156	-2,704	430672,509	5,636	-68,732	
160	430672,534	6,155	-2,762	430672,559	5,637	-68,604	
161	430672,584	6,155	-2,711	430672,609	5,636	-68,698	
162	430672,634	6,155	-2,713	430672,659	5,637	-68,589	
163	430672,684	6,155	-2,740	430672,709	5,636	-68,689	
164	430672,734	6,155	-2,740	430672,759	5,637	-68,617	
165	430672,784	6,155	-2,739	430672,809	5,636	-68,689	
166	430672,834	6,155	-2,686	430672,859	5,637	-68,583	
167	430672,884	6,156	-2,634	430672,909	5,636	-68,728	
168	430672,934	6,155	-2,723	430672,959	5,636	-68,622	
