Source File:- C:\Cubus Projects\vi_F4016_Lastkollektiv\Data\Test Run - 69\Prüfablauf - (1 von 100)\F4016_1_Realkollektiv_1_#3.qtpd
Cycle	Peak Time [s]	Zylinder 2 Weg  [mm] Peak	Zylinder 2 Kraft  [kN] Peak	Trough Time	Zylinder 2 Weg  [mm] Trough	Zylinder 2 Kraft  [kN] Trough	
1	436789,373	6,180	-1,561	436798,385	5,893	-36,001	
2	436798,399	5,895	-35,783	436798,419	5,890	-36,417	
3	436798,443	5,900	-35,255	436798,467	5,886	-36,958	
4	436798,491	5,904	-34,695	436798,515	5,882	-37,416	
5	436798,541	5,908	-34,156	436798,565	5,879	-37,947	
6	436798,590	5,912	-33,603	436798,615	5,874	-38,498	
7	436798,640	5,916	-33,143	436798,665	5,871	-38,925	
8	436798,690	5,920	-32,517	436798,714	5,867	-39,430	
9	436798,739	5,924	-32,020	436798,764	5,863	-40,060	
10	436798,790	5,929	-31,423	436798,814	5,858	-40,656	
11	436798,839	5,932	-30,939	436798,864	5,853	-41,235	
12	436798,889	5,937	-30,297	436798,914	5,849	-41,839	
13	436798,939	5,941	-29,801	436798,964	5,844	-42,482	
14	436798,989	5,945	-29,187	436799,014	5,839	-43,125	
15	436799,039	5,950	-28,644	436799,064	5,834	-43,742	
16	436799,089	5,955	-28,002	436799,113	5,829	-44,398	
17	436799,139	5,959	-27,451	436799,164	5,824	-45,048	
18	436799,189	5,964	-26,823	436799,213	5,819	-45,621	
19	436799,238	5,968	-26,254	436799,263	5,814	-46,259	
20	436799,288	5,973	-25,586	436799,313	5,809	-46,969	
21	436799,338	5,978	-25,013	436799,363	5,804	-47,623	
22	436799,388	5,982	-24,361	436799,414	5,799	-48,240	
23	436799,438	5,987	-23,781	436799,463	5,794	-48,885	
24	436799,488	5,992	-23,103	436799,513	5,789	-49,539	
25	436799,538	5,997	-22,533	436799,563	5,784	-50,162	
26	436799,588	6,002	-21,838	436799,613	5,779	-50,795	
27	436799,638	6,007	-21,262	436799,663	5,773	-51,483	
28	436799,688	6,012	-20,567	436799,713	5,770	-51,954	
29	436799,738	6,017	-20,016	436799,763	5,765	-52,611	
30	436799,788	6,021	-19,311	436799,813	5,761	-53,169	
31	436799,838	6,027	-18,741	436799,863	5,757	-53,650	
32	436799,888	6,032	-18,061	436799,913	5,752	-54,322	
33	436799,938	6,037	-17,466	436799,963	5,747	-54,937	
34	436799,988	6,041	-16,837	436800,013	5,743	-55,522	
35	436800,038	6,046	-16,278	436800,063	5,737	-56,182	
36	436800,088	6,051	-15,648	436800,113	5,732	-56,800	
37	436800,138	6,055	-15,120	436800,163	5,727	-57,461	
38	436800,188	6,061	-14,453	436800,213	5,723	-58,031	
39	436800,238	6,065	-13,865	436800,263	5,717	-58,750	
40	436800,288	6,072	-13,098	436800,313	5,713	-59,323	
41	436800,338	6,077	-12,371	436800,363	5,708	-59,979	
42	436800,388	6,088	-11,083	436800,413	5,703	-60,565	
43	436800,438	6,101	-9,586	436800,463	5,698	-61,246	
44	436800,488	6,115	-7,834	436800,513	5,693	-61,814	
45	436800,538	6,126	-6,543	436800,563	5,688	-62,534	
46	436800,588	6,135	-5,431	436800,613	5,683	-63,159	
47	436800,638	6,143	-4,615	436800,663	5,677	-63,885	
48	436800,688	6,151	-3,621	436800,713	5,672	-64,521	
49	436800,738	6,156	-3,108	436800,763	5,666	-65,298	
50	436800,788	6,161	-2,526	436800,813	5,662	-65,918	
51	436800,838	6,167	-1,982	436800,863	5,656	-66,611	
52	436800,888	6,169	-1,663	436800,913	5,650	-67,283	
53	436800,938	6,170	-1,675	436800,963	5,648	-67,540	
54	436800,988	6,169	-1,716	436801,013	5,648	-67,583	
55	436801,038	6,168	-1,809	436801,063	5,647	-67,704	
56	436801,088	6,168	-1,837	436801,113	5,647	-67,710	
57	436801,138	6,167	-1,904	436801,163	5,646	-67,795	
58	436801,188	6,166	-1,907	436801,213	5,646	-67,909	
59	436801,238	6,165	-2,057	436801,263	5,645	-67,933	
60	436801,288	6,164	-2,096	436801,313	5,645	-68,002	
61	436801,338	6,164	-2,238	436801,363	5,644	-68,055	
62	436801,388	6,163	-2,224	436801,413	5,644	-68,096	
63	436801,438	6,163	-2,329	436801,463	5,643	-68,194	
64	436801,488	6,162	-2,278	436801,513	5,643	-68,230	
65	436801,538	6,162	-2,362	436801,563	5,642	-68,298	
66	436801,588	6,162	-2,379	436801,613	5,642	-68,260	
67	436801,638	6,160	-2,473	436801,663	5,642	-68,330	
68	436801,688	6,161	-2,382	436801,713	5,642	-68,337	
69	436801,738	6,160	-2,522	436801,763	5,641	-68,399	
70	436801,788	6,161	-2,421	436801,813	5,641	-68,398	
71	436801,838	6,162	-2,428	436801,863	5,641	-68,401	
72	436801,888	6,161	-2,397	436801,913	5,641	-68,419	
73	436801,938	6,161	-2,466	436801,963	5,641	-68,473	
74	436801,988	6,160	-2,437	436802,013	5,641	-68,413	
75	436802,038	6,161	-2,437	436802,063	5,641	-68,507	
76	436802,088	6,161	-2,385	436802,113	5,640	-68,470	
77	436802,138	6,161	-2,445	436802,163	5,641	-68,429	
78	436802,188	6,160	-2,440	436802,213	5,640	-68,444	
79	436802,238	6,160	-2,473	436802,263	5,640	-68,497	
80	436802,288	6,160	-2,442	436802,313	5,640	-68,493	
81	436802,338	6,160	-2,525	436802,363	5,641	-68,511	
82	436802,388	6,160	-2,452	436802,413	5,640	-68,489	
83	436802,438	6,160	-2,504	436802,463	5,640	-68,558	
84	436802,488	6,160	-2,456	436802,513	5,640	-68,526	
85	436802,538	6,160	-2,575	436802,563	5,640	-68,575	
86	436802,588	6,160	-2,486	436802,613	5,640	-68,543	
87	436802,638	6,159	-2,567	436802,663	5,639	-68,607	
88	436802,688	6,159	-2,568	436802,713	5,640	-68,600	
89	436802,738	6,159	-2,631	436802,763	5,639	-68,616	
90	436802,788	6,159	-2,572	436802,813	5,639	-68,655	
91	436802,838	6,158	-2,668	436802,863	5,639	-68,640	
92	436802,888	6,158	-2,623	436802,913	5,639	-68,659	
93	436802,938	6,159	-2,656	436802,963	5,638	-68,698	
94	436802,988	6,159	-2,615	436803,013	5,639	-68,624	
95	436803,038	6,157	-2,747	436803,063	5,639	-68,712	
96	436803,088	6,158	-2,678	436803,113	5,639	-68,691	
97	436803,138	6,158	-2,734	436803,163	5,638	-68,748	
98	436803,188	6,157	-2,682	436803,213	5,638	-68,725	
99	436803,238	6,158	-2,706	436803,263	5,638	-68,733	
100	436803,288	6,157	-2,756	436803,313	5,639	-68,713	
101	436803,338	6,158	-2,690	436803,363	5,638	-68,761	
102	436803,388	6,157	-2,696	436803,413	5,639	-68,661	
103	436803,438	6,159	-2,646	436803,463	5,638	-68,694	
104	436803,488	6,157	-2,707	436803,513	5,639	-68,716	
105	436803,538	6,157	-2,765	436803,563	5,638	-68,758	
106	436803,588	6,157	-2,718	436803,613	5,638	-68,725	
107	436803,638	6,158	-2,703	436803,663	5,639	-68,697	
108	436803,688	6,157	-2,677	436803,713	5,639	-68,678	
109	436803,738	6,158	-2,693	436803,763	5,638	-68,740	
110	436803,788	6,158	-2,692	436803,813	5,638	-68,685	
111	436803,838	6,159	-2,628	436803,863	5,639	-68,698	
112	436803,888	6,158	-2,658	436803,913	5,639	-68,659	
113	436803,938	6,158	-2,697	436803,963	5,639	-68,687	
114	436803,988	6,157	-2,675	436804,013	5,639	-68,641	
115	436804,038	6,159	-2,619	436804,063	5,638	-68,705	
116	436804,088	6,158	-2,643	436804,113	5,638	-68,716	
117	436804,138	6,158	-2,714	436804,163	5,639	-68,666	
118	436804,188	6,158	-2,614	436804,213	5,639	-68,665	
119	436804,238	6,158	-2,668	436804,263	5,638	-68,686	
120	436804,288	6,158	-2,621	436804,313	5,639	-68,652	
121	436804,338	6,159	-2,599	436804,363	5,638	-68,747	
122	436804,388	6,158	-2,571	436804,413	5,639	-68,674	
123	436804,438	6,159	-2,644	436804,463	5,639	-68,731	
124	436804,488	6,159	-2,575	436804,513	5,638	-68,746	
125	436804,538	6,158	-2,683	436804,563	5,638	-68,741	
126	436804,588	6,157	-2,680	436804,613	5,639	-68,697	
127	436804,638	6,158	-2,700	436804,663	5,638	-68,694	
128	436804,688	6,158	-2,647	436804,713	5,639	-68,649	
129	436804,738	6,159	-2,603	436804,763	5,638	-68,735	
130	436804,788	6,158	-2,640	436804,813	5,639	-68,668	
131	436804,838	6,158	-2,660	436804,863	5,639	-68,687	
132	436804,888	6,159	-2,593	436804,913	5,638	-68,702	
133	436804,938	6,158	-2,706	436804,963	5,638	-68,761	
134	436804,988	6,159	-2,553	436805,013	5,639	-68,661	
135	436805,038	6,158	-2,671	436805,063	5,638	-68,692	
136	436805,088	6,158	-2,696	436805,113	5,638	-68,709	
137	436805,138	6,157	-2,779	436805,163	5,638	-68,705	
138	436805,188	6,158	-2,666	436805,213	5,638	-68,695	
139	436805,238	6,158	-2,706	436805,263	5,638	-68,713	
140	436805,288	6,157	-2,677	436805,313	5,638	-68,738	
141	436805,338	6,158	-2,763	436805,363	5,638	-68,716	
142	436805,388	6,158	-2,677	436805,413	5,638	-68,704	
143	436805,438	6,158	-2,704	436805,463	5,638	-68,744	
144	436805,488	6,157	-2,687	436805,513	5,638	-68,715	
145	436805,538	6,157	-2,755	436805,563	5,638	-68,691	
146	436805,588	6,158	-2,634	436805,613	5,639	-68,680	
147	436805,638	6,157	-2,741	436805,663	5,638	-68,744	
