Source File:- C:\Cubus Projects\vi_F4016_Lastkollektiv\Data\Test Run - 21\Prüfablauf - (1 von 1)\F4016_1_Ueberlast_mittig_#2.qtpd
Cycle	Peak Time [s]	Zylinder 2 Weg  [mm] Peak	Zylinder 2 Kraft  [kN] Peak	Trough Time	Zylinder 2 Weg  [mm] Trough	Zylinder 2 Kraft  [kN] Trough	
98	154513,789	6,104	-2,877	154513,814	5,557	-70,701	
99	154513,839	6,105	-2,846	154513,864	5,556	-70,806	
100	154513,889	6,105	-2,776	154513,914	5,556	-70,760	
101	154513,939	6,102	-2,909	154513,964	5,556	-70,781	
102	154513,989	6,104	-2,825	154514,014	5,555	-70,723	
103	154514,039	6,103	-2,850	154514,064	5,555	-70,807	
104	154514,089	6,103	-2,837	154514,114	5,555	-70,717	
105	154514,139	6,104	-2,817	154514,164	5,555	-70,799	
106	154514,189	6,103	-2,860	154514,214	5,555	-70,741	
107	154514,239	6,103	-2,915	154514,264	5,555	-70,842	
108	154514,289	6,103	-2,878	154514,314	5,555	-70,784	
109	154514,339	6,104	-2,809	154514,364	5,554	-70,858	
110	154514,389	6,103	-2,829	154514,414	5,555	-70,740	
111	154514,439	6,104	-2,782	154514,464	5,555	-70,824	
112	154514,489	6,103	-2,875	154514,514	5,556	-70,748	
113	154514,539	6,104	-2,879	154514,564	5,556	-70,833	
114	154514,589	6,104	-2,838	154514,614	5,555	-70,778	
115	154514,639	6,103	-2,855	154514,664	5,555	-70,838	
116	154514,689	6,104	-2,886	154514,714	5,555	-70,740	
117	154514,739	6,104	-2,874	154514,764	5,556	-70,870	
118	154514,789	6,102	-2,908	154514,814	5,556	-70,776	
119	154514,839	6,103	-2,905	154514,864	5,555	-70,853	
120	154514,889	6,104	-2,868	154514,914	5,555	-70,794	
121	154514,939	6,104	-2,818	154514,964	5,556	-70,786	
122	154514,989	6,104	-2,772	154515,014	5,556	-70,755	
123	154515,039	6,104	-2,832	154515,064	5,555	-70,798	
124	154515,089	6,104	-2,824	154515,114	5,555	-70,732	
125	154515,139	6,104	-2,901	154515,164	5,555	-70,823	
126	154515,189	6,102	-2,949	154515,214	5,557	-70,725	
127	154515,239	6,104	-2,901	154515,264	5,556	-70,793	
128	154515,289	6,104	-2,881	154515,314	5,555	-70,792	
129	154515,339	6,103	-2,905	154515,364	5,556	-70,819	
130	154515,389	6,102	-2,939	154515,414	5,557	-70,721	
131	154515,439	6,103	-2,961	154515,464	5,555	-70,770	
132	154515,489	6,104	-2,814	154515,514	5,556	-70,711	
133	154515,539	6,105	-2,804	154515,564	5,556	-70,809	
134	154515,589	6,103	-2,976	154515,614	5,557	-70,717	
135	154515,639	6,102	-2,958	154515,664	5,555	-70,773	
136	154515,689	6,104	-2,875	154515,714	5,555	-70,669	
137	154515,739	6,103	-2,836	154515,764	5,556	-70,758	
138	154515,789	6,102	-2,949	154515,814	5,556	-70,732	
139	154515,839	6,103	-3,006	154515,864	5,556	-70,770	
140	154515,889	6,102	-2,891	154515,914	5,556	-70,750	
141	154515,939	6,103	-2,834	154515,964	5,555	-70,834	
142	154515,989	6,103	-2,978	154516,014	5,556	-70,722	
143	154516,039	6,103	-2,967	154516,064	5,555	-70,818	
144	154516,089	6,102	-2,925	154516,114	5,556	-70,731	
145	154516,139	6,103	-2,915	154516,164	5,556	-70,757	
146	154516,189	6,102	-2,977	154516,214	5,556	-70,724	
147	154516,239	6,103	-3,022	154516,264	5,556	-70,767	
148	154516,289	6,104	-2,877	154516,314	5,556	-70,736	
149	154516,339	6,102	-2,937	154516,364	5,556	-70,760	
150	154516,389	6,103	-2,993	154516,414	5,555	-70,682	
151	154516,439	6,101	-3,040	154516,464	5,557	-70,731	
152	154516,489	6,102	-2,987	154516,514	5,556	-70,706	
153	154516,539	6,102	-3,041	154516,564	5,556	-70,756	
154	154516,589	6,101	-3,115	154516,614	5,556	-70,660	
155	154516,639	6,102	-2,978	154516,664	5,556	-70,717	
156	154516,689	6,103	-2,996	154516,714	5,556	-70,653	
157	154516,739	6,102	-3,069	154516,764	5,557	-70,707	
158	154516,789	6,103	-2,962	154516,814	5,557	-70,641	
159	154516,839	6,102	-3,091	154516,864	5,556	-70,758	
160	154516,889	6,101	-2,986	154516,914	5,555	-70,664	
161	154516,939	6,103	-2,927	154516,964	5,557	-70,727	
162	154516,989	6,103	-2,961	154517,014	5,556	-70,697	
163	154517,039	6,102	-2,997	154517,064	5,556	-70,707	
164	154517,089	6,102	-3,039	154517,114	5,557	-70,662	
165	154517,139	6,103	-2,960	154517,164	5,557	-70,658	
166	154517,189	6,103	-2,929	154517,214	5,556	-70,627	
167	154517,239	6,103	-2,957	154517,264	5,556	-70,686	
168	154517,289	6,103	-2,969	154517,314	5,556	-70,716	
169	154517,339	6,101	-3,038	154517,364	5,556	-70,668	
170	154517,389	6,103	-2,990	154517,414	5,557	-70,645	
171	154517,439	6,103	-2,923	154517,464	5,556	-70,666	
172	154517,489	6,103	-3,018	154517,514	5,557	-70,638	
173	154517,539	6,102	-2,974	154517,564	5,556	-70,695	
174	154517,589	6,102	-3,013	154517,614	5,557	-70,600	
175	154517,639	6,102	-2,970	154517,664	5,555	-70,719	
176	154517,689	6,103	-2,953	154517,714	5,557	-70,619	
177	154517,739	6,102	-2,961	154517,764	5,556	-70,654	
178	154517,789	6,103	-2,957	154517,814	5,557	-70,628	
179	154517,839	6,102	-3,041	154517,864	5,557	-70,679	
180	154517,889	6,101	-3,016	154517,914	5,557	-70,610	
181	154517,939	6,102	-3,047	154517,964	5,556	-70,675	
182	154517,989	6,103	-2,960	154518,014	5,555	-70,634	
183	154518,039	6,103	-2,974	154518,064	5,556	-70,685	
184	154518,089	6,102	-2,898	154518,114	5,557	-70,618	
185	154518,139	6,103	-2,972	154518,164	5,556	-70,693	
186	154518,189	6,102	-2,918	154518,214	5,557	-70,598	
187	154518,239	6,102	-2,971	154518,264	5,556	-70,665	
188	154518,289	6,103	-2,973	154518,314	5,556	-70,623	
189	154518,339	6,103	-2,993	154518,364	5,556	-70,682	
190	154518,389	6,103	-2,954	154518,414	5,557	-70,637	
191	154518,439	6,103	-2,912	154518,464	5,557	-70,720	
192	154518,489	6,101	-3,005	154518,514	5,557	-70,685	
193	154518,539	6,103	-2,919	154518,564	5,555	-70,731	
194	154518,589	6,103	-2,908	154518,614	5,556	-70,625	
195	154518,639	6,102	-2,916	154518,664	5,557	-70,721	
196	154518,689	6,104	-2,908	154518,714	5,556	-70,623	
197	154518,739	6,102	-2,913	154518,764	5,557	-70,637	
198	154518,789	6,103	-2,880	154518,814	5,555	-70,741	
199	154518,839	6,102	-2,939	154518,864	5,556	-70,628	
200	154518,889	6,102	-2,915	154518,914	5,557	-70,594	
201	154518,939	6,102	-2,922	154518,964	5,557	-70,679	
202	154518,989	6,104	-2,868	154519,014	5,556	-70,604	
203	154519,039	6,103	-2,889	154519,064	5,556	-70,700	
204	154519,089	6,103	-2,864	154519,114	5,557	-70,605	
205	154519,139	6,103	-2,905	154519,164	5,556	-70,698	
206	154519,189	6,103	-2,959	154519,214	5,556	-70,680	
207	154519,239	6,103	-2,895	154519,264	5,557	-70,684	
208	154519,289	6,102	-2,924	154519,314	5,557	-70,656	
209	154519,339	6,102	-2,909	154519,364	5,556	-70,705	
210	154519,389	6,103	-2,916	154519,414	5,556	-70,627	
211	154519,439	6,103	-2,978	154519,464	5,556	-70,679	
